PA,SZ,AG,Sex,Pop,Time
Ang Mo Kio,Shangri-La,30_to_34,Females,830,2000
Ang Mo Kio,Shangri-La,35_to_39,Males,1010,2000
Ang Mo Kio,Shangri-La,35_to_39,Females,910,2000
Ang Mo Kio,Shangri-La,40_to_44,Males,930,2000
Ang Mo Kio,Shangri-La,40_to_44,Females,890,2000
Ang Mo Kio,Shangri-La,45_to_49,Males,830,2000
Ang Mo Kio,Shangri-La,45_to_49,Females,910,2000
Ang Mo Kio,Shangri-La,50_to_54,Males,720,2000
Ang Mo Kio,Shangri-La,50_to_54,Females,870,2000
Ang Mo Kio,Shangri-La,55_to_59,Males,560,2000
Ang Mo Kio,Shangri-La,55_to_59,Females,610,2000
Ang Mo Kio,Shangri-La,60_to_64,Males,510,2000
Ang Mo Kio,Shangri-La,60_to_64,Females,530,2000
Ang Mo Kio,Shangri-La,65_to_69,Males,430,2000
Ang Mo Kio,Shangri-La,65_to_69,Females,430,2000
Ang Mo Kio,Shangri-La,70_to_74,Males,250,2000
Ang Mo Kio,Shangri-La,70_to_74,Females,320,2000
Ang Mo Kio,Shangri-La,75_to_79,Males,170,2000
Ang Mo Kio,Shangri-La,75_to_79,Females,180,2000
Ang Mo Kio,Shangri-La,80_to_84,Males,90,2000
Ang Mo Kio,Shangri-La,80_to_84,Females,120,2000
Ang Mo Kio,Shangri-La,85_and_over,Males,60,2000
Ang Mo Kio,Shangri-La,85_and_over,Females,90,2000
Ang Mo Kio,Sindo,0_to_4,Males,190,2000
Ang Mo Kio,Sindo,0_to_4,Females,230,2000
Ang Mo Kio,Sindo,5_to_9,Males,330,2000
Ang Mo Kio,Sindo,5_to_9,Females,360,2000
Ang Mo Kio,Sindo,10_to_14,Males,390,2000
Ang Mo Kio,Sindo,10_to_14,Females,360,2000
Ang Mo Kio,Sindo,15_to_19,Males,250,2000
Ang Mo Kio,Sindo,15_to_19,Females,230,2000
Ang Mo Kio,Sindo,20_to_24,Males,230,2000
Ang Mo Kio,Sindo,20_to_24,Females,240,2000
Ang Mo Kio,Sindo,25_to_29,Males,220,2000
Ang Mo Kio,Sindo,25_to_29,Females,210,2000
Ang Mo Kio,Sindo,30_to_34,Males,200,2000
Ang Mo Kio,Sindo,30_to_34,Females,260,2000
Ang Mo Kio,Sindo,35_to_39,Males,280,2000
Ang Mo Kio,Sindo,35_to_39,Females,370,2000
Ang Mo Kio,Sindo,40_to_44,Males,370,2000
Ang Mo Kio,Sindo,40_to_44,Females,440,2000
Ang Mo Kio,Sindo,45_to_49,Males,380,2000
Ang Mo Kio,Sindo,45_to_49,Females,340,2000
Ang Mo Kio,Sindo,50_to_54,Males,290,2000
Ang Mo Kio,Sindo,50_to_54,Females,240,2000
Ang Mo Kio,Sindo,55_to_59,Males,130,2000
Ang Mo Kio,Sindo,55_to_59,Females,130,2000
Ang Mo Kio,Sindo,60_to_64,Males,120,2000
Ang Mo Kio,Sindo,60_to_64,Females,100,2000
Ang Mo Kio,Sindo,65_to_69,Males,70,2000
Ang Mo Kio,Sindo,65_to_69,Females,60,2000
Ang Mo Kio,Sindo,70_to_74,Males,50,2000
Ang Mo Kio,Sindo,70_to_74,Females,50,2000
Ang Mo Kio,Sindo,75_to_79,Males,20,2000
Ang Mo Kio,Sindo,75_to_79,Females,40,2000
Ang Mo Kio,Sindo,80_to_84,Males,10,2000
Ang Mo Kio,Sindo,80_to_84,Females,10,2000
Ang Mo Kio,Sindo,85_and_over,Males,10,2000
Ang Mo Kio,Sindo,85_and_over,Females,20,2000
Ang Mo Kio,Town Centre,0_to_4,Males,50,2000
Ang Mo Kio,Town Centre,0_to_4,Females,50,2000
Ang Mo Kio,Town Centre,5_to_9,Males,60,2000
Ang Mo Kio,Town Centre,5_to_9,Females,50,2000
Ang Mo Kio,Town Centre,10_to_14,Males,60,2000
Ang Mo Kio,Town Centre,10_to_14,Females,70,2000
Ang Mo Kio,Town Centre,15_to_19,Males,90,2000
Ang Mo Kio,Town Centre,15_to_19,Females,80,2000
Ang Mo Kio,Town Centre,20_to_24,Males,100,2000
Ang Mo Kio,Town Centre,20_to_24,Females,100,2000
Ang Mo Kio,Town Centre,25_to_29,Males,110,2000
Ang Mo Kio,Town Centre,25_to_29,Females,100,2000
Ang Mo Kio,Town Centre,30_to_34,Males,80,2000
Ang Mo Kio,Town Centre,30_to_34,Females,90,2000
Ang Mo Kio,Town Centre,35_to_39,Males,90,2000
Ang Mo Kio,Town Centre,35_to_39,Females,80,2000
Ang Mo Kio,Town Centre,40_to_44,Males,80,2000
Ang Mo Kio,Town Centre,40_to_44,Females,90,2000
Ang Mo Kio,Town Centre,45_to_49,Males,80,2000
Ang Mo Kio,Town Centre,45_to_49,Females,110,2000
Ang Mo Kio,Town Centre,50_to_54,Males,100,2000
Ang Mo Kio,Town Centre,50_to_54,Females,100,2000
Ang Mo Kio,Town Centre,55_to_59,Males,50,2000
Ang Mo Kio,Town Centre,55_to_59,Females,70,2000
Ang Mo Kio,Town Centre,60_to_64,Males,50,2000
Ang Mo Kio,Town Centre,60_to_64,Females,50,2000
Ang Mo Kio,Town Centre,65_to_69,Males,30,2000
Ang Mo Kio,Town Centre,65_to_69,Females,30,2000
Ang Mo Kio,Town Centre,70_to_74,Males,20,2000
Ang Mo Kio,Town Centre,70_to_74,Females,30,2000
Ang Mo Kio,Town Centre,75_to_79,Males,10,2000
Ang Mo Kio,Town Centre,75_to_79,Females,10,2000
Ang Mo Kio,Town Centre,80_to_84,Males,0,2000
Ang Mo Kio,Town Centre,80_to_84,Females,10,2000
Ang Mo Kio,Town Centre,85_and_over,Males,10,2000
Ang Mo Kio,Town Centre,85_and_over,Females,0,2000
Ang Mo Kio,Townsville,0_to_4,Males,520,2000
Ang Mo Kio,Townsville,0_to_4,Females,470,2000
Ang Mo Kio,Townsville,5_to_9,Males,610,2000
Ang Mo Kio,Townsville,5_to_9,Females,610,2000
Ang Mo Kio,Townsville,10_to_14,Males,630,2000
Ang Mo Kio,Townsville,10_to_14,Females,560,2000
Ang Mo Kio,Townsville,15_to_19,Males,660,2000
Ang Mo Kio,Townsville,15_to_19,Females,670,2000
Ang Mo Kio,Townsville,20_to_24,Males,860,2000
Ang Mo Kio,Townsville,20_to_24,Females,830,2000
Ang Mo Kio,Townsville,25_to_29,Males,1120,2000
Ang Mo Kio,Townsville,25_to_29,Females,1010,2000
Ang Mo Kio,Townsville,30_to_34,Males,800,2000
Ang Mo Kio,Townsville,30_to_34,Females,770,2000
Ang Mo Kio,Townsville,35_to_39,Males,900,2000
Ang Mo Kio,Townsville,35_to_39,Females,850,2000
Ang Mo Kio,Townsville,40_to_44,Males,900,2000
Ang Mo Kio,Townsville,40_to_44,Females,960,2000
Ang Mo Kio,Townsville,45_to_49,Males,810,2000
Ang Mo Kio,Townsville,45_to_49,Females,930,2000
Ang Mo Kio,Townsville,50_to_54,Males,820,2000
Ang Mo Kio,Townsville,50_to_54,Females,960,2000
Ang Mo Kio,Townsville,55_to_59,Males,580,2000
Ang Mo Kio,Townsville,55_to_59,Females,610,2000
Ang Mo Kio,Townsville,60_to_64,Males,510,2000
Ang Mo Kio,Townsville,60_to_64,Females,540,2000
Ang Mo Kio,Townsville,65_to_69,Males,400,2000
Ang Mo Kio,Townsville,65_to_69,Females,430,2000
Ang Mo Kio,Townsville,70_to_74,Males,280,2000
Ang Mo Kio,Townsville,70_to_74,Females,330,2000
Ang Mo Kio,Townsville,75_to_79,Males,160,2000
Ang Mo Kio,Townsville,75_to_79,Females,190,2000
Ang Mo Kio,Townsville,80_to_84,Males,70,2000
Ang Mo Kio,Townsville,80_to_84,Females,110,2000
Ang Mo Kio,Townsville,85_and_over,Males,60,2000
Ang Mo Kio,Townsville,85_and_over,Females,110,2000
Ang Mo Kio,Yio Chu Kang,0_to_4,Males,940,2000
Ang Mo Kio,Yio Chu Kang,0_to_4,Females,880,2000
Ang Mo Kio,Yio Chu Kang,5_to_9,Males,1090,2000
Ang Mo Kio,Yio Chu Kang,5_to_9,Females,1120,2000
Ang Mo Kio,Yio Chu Kang,10_to_14,Males,1090,2000
Ang Mo Kio,Yio Chu Kang,10_to_14,Females,1080,2000
Ang Mo Kio,Yio Chu Kang,15_to_19,Males,1170,2000
Ang Mo Kio,Yio Chu Kang,15_to_19,Females,1090,2000
Ang Mo Kio,Yio Chu Kang,20_to_24,Males,1140,2000
Ang Mo Kio,Yio Chu Kang,20_to_24,Females,1140,2000
Ang Mo Kio,Yio Chu Kang,25_to_29,Males,1180,2000
Ang Mo Kio,Yio Chu Kang,25_to_29,Females,1160,2000
Ang Mo Kio,Yio Chu Kang,30_to_34,Males,1060,2000
Ang Mo Kio,Yio Chu Kang,30_to_34,Females,1140,2000
Ang Mo Kio,Yio Chu Kang,35_to_39,Males,1380,2000
Ang Mo Kio,Yio Chu Kang,35_to_39,Females,1490,2000
Ang Mo Kio,Yio Chu Kang,40_to_44,Males,1460,2000
