Country,Country,Year,Avg. Income,Avg. LifeExp,Pop
Slovak Republic,Slovak Republic,1801,1430,36.4,2140000
Singapore,Singapore,1801,1020,29.1,30000
Sierra Leone,Sierra Leone,1801,734,25.1,794000
Seychelles,Seychelles,1801,795,37,12500
Serbia,Serbia,1801,1360,35.5,2150000
Senegal,Senegal,1801,497,25.2,1010000
Saudi Arabia,Saudi Arabia,1801,846,32.1,2090000
Sao Tome and Principe,Sao Tome and Principe,1801,852,31,22700
Samoa,Samoa,1801,1400,25.4,47300
Rwanda,Rwanda,1801,432,25,928000
Russia,Russia,1801,1430,29.6,31100000
Romania,Romania,1801,815,35.7,5510000
Qatar,Qatar,1801,1100,30.8,14100
Portugal,Portugal,1801,1680,35.6,3050000
Poland,Poland,1801,1220,35.9,9550000
Philippines,Philippines,1801,962,30.9,1890000
Peru,Peru,1801,1200,35.7,1310000
Paraguay,Paraguay,1801,835,35.5,143000
Papua New Guinea,Papua New Guinea,1801,546,31.5,755000
Panama,Panama,1801,847,32.9,78800
Palestine,Palestine,1801,1220,32.1,166000
Pakistan,Pakistan,1801,1020,25.8,13100000
Oman,Oman,1801,916,32.3,318000
Norway,Norway,1801,1280,35.8,873000
North Korea,North Korea,1801,578,26,4350000
Nigeria,Nigeria,1801,853,30.4,12100000
Niger,Niger,1801,446,30.8,1240000
Nicaragua,Nicaragua,1801,973,25.4,219000
New Zealand,New Zealand,1801,658,34,100000
Netherlands,Netherlands,1801,4160,39.9,2260000
Nepal,Nepal,1801,654,32.8,3880000
Namibia,Namibia,1801,540,32.4,229000
Myanmar,Myanmar,1801,840,30.8,3510000
Mozambique,Mozambique,1801,391,30.3,1990000
Morocco,Morocco,1801,714,33.1,2510000
Montenegro,Montenegro,1801,1060,35.4,127000
Mongolia,Mongolia,1801,592,31.8,619000
Moldova,Moldova,1801,621,33.1,713000
Mexico,Mexico,1801,1380,26.9,6200000
Mauritius,Mauritius,1801,940,28.7,64200
Mauritania,Mauritania,1801,528,32,383000
Marshall Islands,Marshall Islands,1801,539,,5830
Malta,Malta,1801,782,28.7,134000
Mali,Mali,1801,603,26.4,1400000
Maldives,Maldives,1801,843,32.6,42400
Malaysia,Malaysia,1801,997,30.6,287000
Malawi,Malawi,1801,350,30.3,737000
Madagascar,Madagascar,1801,573,30.5,1550000
Luxembourg,Luxembourg,1801,1450,36.9,127000
Lithuania,Lithuania,1801,1270,28.9,779000
Libya,Libya,1801,1050,33.1,532000
Liberia,Liberia,1801,797,31.1,314000
Lesotho,Lesotho,1801,393,32.8,276000
Lebanon,Lebanon,1801,1080,29.7,332000
Latvia,Latvia,1801,752,33,591000
Lao,Lao,1801,865,31.9,470000
Kyrgyz Republic,Kyrgyz Republic,1801,508,23.9,530000
Kuwait,Kuwait,1801,1100,26,81300
Kiribati,Kiribati,1801,551,24.9,17900
Kenya,Kenya,1801,856,25.5,2570000
Jordan,Jordan,1801,976,31.7,217000
Japan,Japan,1801,1050,36.4,30300000
Jamaica,Jamaica,1801,1170,34.2,401000
Italy,Italy,1801,2200,29.7,18900000
Israel,Israel,1801,880,32,210000
Ireland,Ireland,1801,1450,38.3,4110000
Iraq,Iraq,1801,969,31.2,1080000
Iran,Iran,1801,977,25.6,6280000
Indonesia,Indonesia,1801,994,30,16200000
India,India,1801,1050,25.4,169000000
Iceland,Iceland,1801,926,33.9,61400
Hungary,Hungary,1801,1250,36,3530000
Honduras,Honduras,1801,675,33.9,130000
Haiti,Haiti,1801,633,29,723000
Guyana,Guyana,1801,1210,31.1,166000
Guinea-Bissau,Guinea-Bissau,1801,777,32,218000
Guinea,Guinea,1801,450,29.5,984000
Guatemala,Guatemala,1801,857,25.8,465000
Grenada,Grenada,1801,959,31.4,29400
Greece,Greece,1801,1370,36.6,2160000
Ghana,Ghana,1801,696,28,2020000
Germany,Germany,1801,1650,38.4,23000000
Georgia,Georgia,1801,543,31.9,1070000
Gambia,Gambia,1801,813,28.8,103000
Gabon,Gabon,1801,390,30.6,158000
